facebook.com, 157.240.22.35
msn.com, 13.82.28.61
baidu.com, 111.13.101.208
live.com, 204.79.197.212
microsoft.com, 104.40.211.35
qq.com, 125.39.240.113
yahoo.com, 206.190.39.42
bing.com, 204.79.197.200
sina.com.cn, 202.108.33.107
youtube.com, 172.217.1.78
163.com, 123.58.180.7
ask.com, 23.61.183.77
adobe.com, 192.147.130.204
twitter.com, 104.244.42.129
mozilla.com, 63.245.213.17
blogspot.com, 172.217.0.41
wikipedia.org, 198.35.26.96
360.cn, 101.198.193.22
craigslist.org, 208.82.237.129
youku.com, 106.11.47.19
hotmail.com, 204.79.197.212
soso.com, 118.191.216.57
taobao.com, 140.205.220.96
weather.com, 104.96.125.167
soku.com, 106.11.47.19
megaupload.com, 
vkontakte.ru, 95.213.4.229
answers.com, 192.41.64.63
rapidshare.com, 10.11.12.13
daum.net, 211.231.99.17
alibaba.com, 205.204.101.42
2345.com, 42.62.30.180
photobucket.com, 209.17.68.100
mediafire.com, 205.196.120.8
ehow.com, 23.227.11.12
livedoor.jp, 125.6.149.67
sdjjdsaf.com, 
andysayler.com, 162.243.49.20
wmfo.org, 23.92.21.128
amazon.com, 176.32.103.205
renren.com, 103.235.252.232
tudou.com, 106.11.186.25
yahoo.co.jp, 183.79.135.206
sohu.com, 221.179.178.112
apple.com, 17.178.96.59
blogger.com, 172.217.2.9
windows.com, 23.96.52.53
ebay.com, 66.135.216.190
pps.tv, 101.227.188.172
xunlei.com, 119.188.108.240
7k7k.com, 115.182.59.140
fc2.com, 52.33.182.156
paypal.com, 64.4.250.32
sogou.com, 118.191.216.42
tmall.com, 140.205.94.193
seesaa.net, 13.33.147.127
wordpress.com, 192.0.78.9
hao123.com, 61.135.162.10
orkut.com.br, 
ku6.com, 117.50.1.222
rakuten.co.jp, 133.237.61.176
about.com, 151.101.1.121
56.com, 101.227.173.126
